name,edition,condition,language,price_eur,quantity,seller
Sanguijuela de guerra monstruosa,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Barricada quejumbrosa,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Extinguir la luz,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Cuidador de almas espeluznante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Astillas óseas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Contenedor de la plaga,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl
Enjambre de moscas de combate,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bendición de la furia de batalla,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Sabotaje agresivo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Saqueador del mar de Voda,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Géiser tolariano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Intromisión oportuna,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Tortuga poza de marea,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Vigía talas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Draco planeador,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Pixie ilusionista,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Espionaje pirexiano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Micromante,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Detener el ímpetu,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Imaginario inquietante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Montaraz puño escarchado,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Djinn de la fuente,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl
Colonia de coral,Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl
Místico ala de guerra,Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl
Muro de la Academia,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Ganar tiempo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Acólita de Shalai,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Herborista samita,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
